Levada;Instrumento;Compasso_1;Compasso_2;Duracao;Loop_C2
Reggae;Repique;pe te LE co | pe te LE co | pe te LE co | pe TE.TE LE co;pe te LE co | pe te LE co | pe te LE co | pe TE.TE LE co;;
Reggae;Caixa;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;pe te LE~ co | pe te LE~ co | pe te LE~ co | pe te LE~ co;;
Reggae;Xequerê;-- -- le -- | -- -- le -- | -- -- le -- | pe te le --;-- -- le -- | -- -- le -- | -- -- le -- | pe te le --;;
Reggae;Dobra;-- -- -- -- | pe te le -- | -- -- -- -- | pe te le --;-- -- -- -- | pe te le -- | -- -- le co | -- te le --;;
Reggae;Fundo 1;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;
Reggae;Fundo 2;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;
Ijexá 1;Dobra;-- -- -- co | pe -- -- -- | -- -- -- co | pe -- -- --;-- -- -- co | pe -- -- -- | -- -- le -- | -- -- le --;;
Ijexá 1;Caixa;PE te le co | PE te LE~ co | PE te le co | PE te LE~ co;PE te le co | PE te LE~ co | PE te le co | PE te LE~ co;;
Ijexá 2;Dobra;-- -- -- co | pe -- le -- | -- -- -- co | pe -- le --;-- -- -- co | pe -- le -- | -- -- le -- | pe -- le --;;
Samba Reggae;Dobra;(pe) -- -- -- | -- -- le -- | -- -- -- -- | pe te le co;pe -- -- -- | -- -- le -- | -- -- -- -- | pe te le co;;
Samba Duro;Dobra;(pe) -- -- -- | pe te le co | pe -- -- -- | pe te le co;pe -- -- -- | pe te le co | pe te le co | pe te le co;;
Pagodão;Dobra;pe -- -- -- | -- -- le -- | pe -- -- -- | -- -- le --;pe -- -- -- | -- -- le -- | pe -- le -- | -- -- le --;;
Xote;Dobra;pe* -- -- -- | pe -- le -- | pe* -- -- -- | -- te le --;pe* -- -- -- | pe -- le -- | pe* -- -- -- | -- te le --;;
Baião;Dobra;pe* -- -- co | -- -- -- co | pe* -- -- co | -- -- -- co;pe* -- -- co | -- -- -- co | pe* -- -- co | -- -- le co;;
Arrastapé;Dobra;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;
Samba Reggae;Caixa;pe te le~ co | pe te le~ co | pe te le~ co | pe te le~ co;pe te le~ co | pe te le~ co | pe te le~ co | pe te le~ co;;
Galope;Dobra;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;
Funk 1;Dobra;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- le co;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;
Samba Duro;Caixa;PE te le CO | pe te LE co | PE te le CO | pe te LE co;PE te le CO | pe te LE co | PE te le CO | pe te LE co;;
PeTaLa;Dobra;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Caixa;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Repique;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Fundo 1;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Fundo 2;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
PeTaLa;Xequerê;pe ta la | pe ta la | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
Pe;Dobra;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Caixa;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Repique;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Fundo 1;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Fundo 2;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Pe;Xequerê;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
PeLe;Dobra;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Caixa;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Repique;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Fundo 1;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Fundo 2;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeLe;Xequerê;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;pe -- le -- | pe -- le -- | pe -- le -- | pe -- le --;;
PeTeLeCo;Dobra;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;
PeTeLeCo;Caixa;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;
PeTeLeCo;Repique;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;
PeTeLeCo;Fundo 1;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;
PeTeLeCo;Fundo 2;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;
PeTeLeCo;Xequerê;pe te le co | pe te le co | pe te le co | pe te le co;pe te le co | pe te le co | pe te le co | pe te le co;;
Pe----Co;Dobra;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;;
TeLeCo;Dobra;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;
PeTeLe--;Dobra;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;
Pe--LeCo;Dobra;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
PeTe--Co;Dobra;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;
Pe----Co;Caixa;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;;
TeLeCo;Caixa;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;
PeTeLe--;Caixa;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;
Pe--LeCo;Caixa;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
PeTe--Co;Caixa;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;
Pe----Co;Fundo 1;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;;
TeLeCo;Fundo 1;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;
PeTeLe--;Fundo 1;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;
Pe--LeCo;Fundo 1;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
PeTe--Co;Fundo 1;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;
Pe----Co;Fundo 2;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;;
TeLeCo;Fundo 2;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;
PeTeLe--;Fundo 2;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;
Pe--LeCo;Fundo 2;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
PeTe--Co;Fundo 2;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;
Pe----Co;Repique;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;;
TeLeCo;Repique;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;
PeTeLe--;Repique;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;
Pe--LeCo;Repique;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
PeTe--Co;Repique;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;
Pe----Co;Xequerê;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;pe -- -- co | pe -- -- co | pe -- -- co | pe -- -- co;;
TeLeCo;Xequerê;-- te le co | -- te le co | -- te le co | -- te le co;-- te le co | -- te le co | -- te le co | -- te le co;;
PeTeLe--;Xequerê;pe te le -- | pe te le -- | pe te le -- | pe te le --;pe te le -- | pe te le -- | pe te le -- | pe te le --;;
Pe--LeCo;Xequerê;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
PeTe--Co;Xequerê;pe te -- co | pe te -- co | pe te -- co | pe te -- co;pe te -- co | pe te -- co | pe te -- co | pe te -- co;;
Funk 2;Dobra;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- co;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- co;;
Funk 3;Dobra;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- le co;pe -- -- co | -- -- le -- | -- -- le -- | -- -- -- --;;
Lambda;Dobra;pe te -- -- | -- -- le -- | -- -- -- -- | -- -- le co;pe te -- -- | -- -- le -- | -- -- -- -- | -- -- le co;;
Samba Reggae;Fundo 1;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;
Samba Reggae;Fundo 2;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;
Samba Reggae;Repique;pe -- -- co | -- -- le -- | -- -- le -- | -- te -- --;pe -- -- co | -- -- le -- | -- -- le -- | -- te -- --;;
Samba Reggae;Xequerê;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
Ijexá 1;Fundo 1;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;
Ijexá 1;Fundo 2;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;
Ijexá 1;Repique;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;
Ijexá 1;Xequerê;pe -- -- -- | pe -- le -- | pe -- -- -- | pe -- le --;pe -- -- -- | pe -- le -- | pe -- -- -- | pe -- le --;;
Ijexá 2;Caixa;PE te le CO | PE -- LE~ co | PE te le CO | PE -- LE~ co;PE te le CO | PE -- LE~ co | PE te le CO | PE -- LE~ co;;
Ijexá 2;Fundo 1;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;;
Ijexá 2;Fundo 2;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;;
Ijexá 2;Repique;pe te -- co | -- -- -- -- | pe -- le -- | -- -- -- --;pe te -- co | -- -- -- -- | pe -- le -- | -- -- -- --;;
Ijexá 2;Xequerê;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;
Samba Duro;Fundo 1;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;
Samba Duro;Fundo 2;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;
Samba Duro;Repique;pe TE le CO | pe te LE co | PE te le CO | pe te LE co;pe TE le CO | pe te LE co | PE te le CO | pe te LE co;;
