Levada;Instrumento;Compasso_1;Compasso_2;Compasso_3;Compasso_4;Duracao;Loop_C2
Alujá;Caixa;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;PE ta LA | pe TA.TA LA | pe TA la | PE ta LA.LA;;
Alujá;Dobra;(pe) -- -- | -- -- -- | pe ta la | pe ta la;pe -- -- | -- -- -- | pe ta la | pe ta la;pe -- -- | -- -- -- | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
Alujá;Fundo 1;(pe) -- -- | (pe) -- -- | (pe) -- -- | (pe) -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- la | pe -- la;;
Alujá;Fundo 2;(pe) -- -- | (pe) -- -- | (pe) -- -- | (pe) -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- -- | pe -- --;pe -- -- | pe -- -- | pe -- la | pe -- la;;
Alujá;Repique;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;PE -- LA | -- TA.TA LA | -- TA -- | PE -- LA;;
Alujá;Xequerê;(pe) -- -- | (pe) -- -- | (pe) (ta) (la) | (pe) (ta) (la);pe -- -- | pe -- -- | pe ta la | pe ta la;pe -- -- | -- -- -- | pe ta la | pe ta la;pe ta la | pe ta la | pe ta la | pe ta la;;
Funk 1;Dobra;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- le co;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;;;
Funk 1;Fundo 1;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;;;
Funk 1;Fundo 2;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;pe -- -- -- | -- -- le -- | -- -- le -- | -- -- -- --;;;;
Funk 1;Caixa;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Funk 1;Repique;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Funk 1;Xequerê;pe -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;pe -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;;;;
Funk 2;Dobra;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- co;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- co;;;;
Funk 2;Fundo 1;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;;;;
Funk 2;Fundo 2;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- le -- | -- -- -- --;;;;
Funk 2;Caixa;-- -- -- co | -- -- le -- | -- -- -- -- | pe -- -- --;-- -- -- co | -- -- le -- | -- -- -- -- | pe -- -- --;;;;
Funk 2;Repique;-- -- -- co | -- -- le -- | -- -- -- -- | pe -- -- --;-- -- -- co | -- -- le -- | -- -- -- -- | pe -- -- --;;;;
Funk 2;Xequerê;pe -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;pe -- -- -- | pe -- le -- | -- -- le -- | pe -- -- --;;;;
Funk 3;Dobra;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- le co;pe -- -- co | -- -- le -- | -- -- le -- | -- -- -- --;;;;
Funk 3;Caixa;pe te le co | PE te le co | pe te le co | PE te le co;pe te le co | PE te le co | pe te le co | PE te le co;;;;
Funk 3;Repique;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Funk 3;Fundo 1;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;;;;
Funk 3;Fundo 2;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;pe -- -- co | -- -- le -- | -- -- -- -- | -- -- -- --;;;;
Funk 3;Xequerê;pe -- -- co | -- -- le -- | -- -- -- -- | pe -- -- --;pe -- -- co | -- -- le -- | -- -- -- -- | pe -- -- --;;;;
Galope;Dobra;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;;;
Galope;Fundo 1;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;-- -- -- -- | pe -- -- -- | -- -- -- -- | pe -- -- --;;;;
Galope;Fundo 2;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;pe -- -- -- | -- -- -- -- | pe -- -- -- | -- -- -- --;;;;
Galope;Xequerê;pe -- -- -- | pe -- le -- | pe -- -- -- | pe -- le --;pe -- -- -- | pe -- le -- | pe -- -- -- | pe -- le --;;;;
Galope;Caixa;pe -- -- co | -- -- le -- | -- -- le -- | pe -- -- --;pe -- -- co | -- -- le -- | -- -- le -- | pe -- -- --;;;;
Galope;Repique;pe -- -- co | -- -- le -- | -- -- le -- | pe -- -- --;pe -- -- co | -- -- le -- | -- -- le -- | pe -- -- --;;;;
Ijexá 1;Dobra;-- -- -- co | pe -- -- -- | -- -- -- co | pe -- -- --;-- -- -- co | pe -- -- -- | -- -- le -- | -- -- le --;;;;
Ijexá 1;Caixa;PE te le co | PE te LE~ co | PE te le co | PE te LE~ co;PE te le co | PE te LE~ co | PE te le co | PE te LE~ co;;;;
Ijexá 1;Fundo 1;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;;;
Ijexá 1;Fundo 2;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;-- -- -- -- | -- -- le -- | -- -- -- -- | -- -- le --;;;;
Ijexá 1;Repique;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;pe -- -- -- | pe -- -- -- | pe -- -- -- | pe -- -- --;;;;
Ijexá 1;Xequerê;pe -- -- -- | pe -- le -- | pe -- -- -- | pe -- le --;pe -- -- -- | pe -- le -- | pe -- -- -- | pe -- le --;;;;
Ijexá 2;Dobra;-- -- -- co | pe -- le -- | -- -- -- co | pe -- le --;-- -- -- co | pe -- le -- | -- -- le -- | pe -- le --;;;;
Ijexá 2;Caixa;PE te le CO | PE -- LE~ co | PE te le CO | PE -- LE~ co;PE te le CO | PE -- LE~ co | PE te le CO | PE -- LE~ co;;;;
Ijexá 2;Fundo 1;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;;;;
Ijexá 2;Fundo 2;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;-- -- -- -- | pe -- le -- | -- -- -- -- | pe -- le --;;;;
Ijexá 2;Repique;pe te -- co | -- -- -- -- | pe -- le -- | -- -- -- --;pe te -- co | -- -- -- -- | pe -- le -- | -- -- -- --;;;;
Ijexá 2;Xequerê;pe -- le co | pe -- le co | pe -- le co | pe -- le co;pe -- le co | pe -- le co | pe -- le co | pe -- le co;;;;
Lambada;Dobra;pe te -- -- | -- -- le -- | -- -- -- -- | -- -- le co;pe te -- -- | -- -- le -- | -- -- -- -- | -- -- le co;;;;
